Company Name,Title,Role,Role url,Localisation,Type,Level,Country,Region,City
Accenture Poland,AI AWS Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3363586466/?alternateChannel=search&refId=%2BmO8GCTF%2B0Gfv5%2BbVqDrkg%3D%3D&trackingId=PnQl%2B3qGMFhVo33yVbnKag%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415409086/?alternateChannel=search&refId=P7ZjbB%2Bd2TZkzZBBrFlYcw%3D%3D&trackingId=xY1Wmja94ZsHLLHiQIXStA%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415403894/?alternateChannel=search&refId=P7ZjbB%2Bd2TZkzZBBrFlYcw%3D%3D&trackingId=T9k6OjPU8VrnrSDtvmrh1A%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3417421945/?alternateChannel=search&refId=9RDSOLpf2FCABa9GIgqKMg%3D%3D&trackingId=5oLjSIzRKAbnntv9wBmu2A%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Turing,Remote 3D Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415408016/?alternateChannel=search&refId=DLJzoWg54V9vwXbxNEt8qw%3D%3D&trackingId=QlHZZdLQ1704DMZcXscSxw%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Accenture Poland,Applied Intelligence Big Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3280020451/?alternateChannel=search&refId=HfgGR9Y8AzxB6p0RKPCylg%3D%3D&trackingId=rSs9xIgZzdJMgJpKDtTnmg%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
"Plume Design, Inc",Applied Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3416991885/?alternateChannel=search&refId=t4VTiZxdgxwy7ThAhcGZBw%3D%3D&trackingId=tpAh3AEOYuO8%2FRXCA5iHAg%3D%3D&trk=d_flagship3_search_srp_jobs,"Wrocław, Woj. Dolnośląskie, Polska",Pelny etat,Poczatkujacy,Polska,Dolnoslaskie,Wroclaw
Circle K,Python Programmer in Data Science,Data Scientist,https://www.linkedin.com/jobs/view/3380657828/?alternateChannel=search&refId=VKA%2FgRjvGKxVnOhKe9iIXw%3D%3D&trackingId=P6EpbFD%2FOmpJiZR0K0UjIg%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
Evolution,Data Science Lead,Data Scientist,https://www.linkedin.com/jobs/view/3337352718/?alternateChannel=search&refId=j%2B7kPvHvrniQq9KLH%2Bbo5w%3D%3D&trackingId=G1iUI19Gg4qxrWKkCcqMGg%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
Reckitt,Data Science Lead,Data Scientist,https://www.linkedin.com/jobs/view/3354791602/?alternateChannel=search&refId=xmlsvGBv1hzwJBR7Eh6siw%3D%3D&trackingId=vehbHEQrjyfUUf0iMH3xsA%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
